Fechas;Serie;Indice;Variable
2024-04-01;ll_trend;480.4922227579322;Restaurantes y Hoteles
2024-05-01;ll_trend;483.2409264922709;Restaurantes y Hoteles
2024-06-01;ll_trend;485.98963022660956;Restaurantes y Hoteles
2024-07-01;ll_trend;488.73833396094824;Restaurantes y Hoteles
2024-08-01;ll_trend;491.4870376952869;Restaurantes y Hoteles
2024-09-01;ll_trend;494.2357414296256;Restaurantes y Hoteles
2024-10-01;ll_trend;496.98444516396427;Restaurantes y Hoteles
2023-11-01;exper_seas_naive;445.9478007228294;Restaurantes y Hoteles
2023-12-01;exper_seas_naive;451.3749088514354;Restaurantes y Hoteles
2024-01-01;exper_seas_naive;457.07898393452354;Restaurantes y Hoteles
2024-02-01;exper_seas_naive;459.99204694986844;Restaurantes y Hoteles
2024-03-01;exper_seas_naive;461.39055056877805;Restaurantes y Hoteles
2024-04-01;exper_seas_naive;462.4042914484875;Restaurantes y Hoteles
2024-05-01;exper_seas_naive;463.25728929813874;Restaurantes y Hoteles
2024-06-01;exper_seas_naive;465.3244774103119;Restaurantes y Hoteles
2024-07-01;exper_seas_naive;468.26341850270154;Restaurantes y Hoteles
2024-08-01;exper_seas_naive;471.2864010527428;Restaurantes y Hoteles
2024-09-01;exper_seas_naive;475.09374295849346;Restaurantes y Hoteles
2024-10-01;exper_seas_naive;477.535266236127;Restaurantes y Hoteles
2023-11-01;struc_ss;466.729135294597;Restaurantes y Hoteles
2023-12-01;struc_ss;469.3691809180189;Restaurantes y Hoteles
2024-01-01;struc_ss;472.5130790831158;Restaurantes y Hoteles
2024-02-01;struc_ss;475.62535692090125;Restaurantes y Hoteles
2024-03-01;struc_ss;478.4721387002012;Restaurantes y Hoteles
2024-04-01;struc_ss;481.36361788928036;Restaurantes y Hoteles
2024-05-01;struc_ss;483.6058170933745;Restaurantes y Hoteles
2024-06-01;struc_ss;487.0736530230273;Restaurantes y Hoteles
2024-07-01;struc_ss;489.60169769168414;Restaurantes y Hoteles
2024-08-01;struc_ss;492.4318630048483;Restaurantes y Hoteles
2024-09-01;struc_ss;495.29989468149313;Restaurantes y Hoteles
2024-10-01;struc_ss;497.6098503773423;Restaurantes y Hoteles
2023-11-01;sarima;383.2014032253469;Prendas de Vestir y Calzado
2023-12-01;sarima;384.50190876435073;Prendas de Vestir y Calzado
2024-01-01;sarima;386.5958984683038;Prendas de Vestir y Calzado
2024-02-01;sarima;387.482479632055;Prendas de Vestir y Calzado
